Name,City,State,PhoneNumber,Rating,Price
Cut & Shave Barbershop,Alexandria,VA,+15719704767,4.5,$
Mt Vernon Barber Zone,Alexandria,VA,+17037045300,5.0,$
Walter's Barber Shop,Alexandria,VA,+15717810180,4.5,$
Telegraph Barbershop,Alexandria,VA,+17038883111,4.5,$
Excellence,Fort Washington,MD,+13012920206,5.0,$
Arzum BarberShop,Alexandria,VA,+17032990050,4.5,$
Friendly Barber Shop,Fort Washington,MD,+13012488891,5.0,$
Ultimate Styles Barbershop,Alexandria,VA,+17035498820,4.0,$
All Things In Common Barbershop,Oxon Hill,MD,+13018394268,4.5,$
E The Barber,Oxon Hill,MD,+12022306003,5.0,$
Excellent Cuts,Fort Washington,MD,+13015677411,3.5,$
King Barber,Alexandria,VA,+17033701210,4.5,$
In D Barber Shop,Alexandria,VA,+17036600666,3.0,$
Hi-Top barber shop,Alexandria,VA,+17036638855,2.5,$
Sebastian Unisex Hair Salon,Alexandria,VA,+17037658966,3.5,$
Kim's Barber Shop,Alexandria,VA,+17039603325,3.5,$
Estilos Barber & Beauty Salon,Alexandria,VA,+17037993488,3.5,$
Best Barber Shop,Alexandria,VA,+17038230728,4.0,$
Hair Cuttery,Alexandria,VA,+17037659662,3.0,$
Hair Cuttery,Alexandria,VA,+17037509629,3.0,$
Hollin Hall Barber Shop,Alexandria,VA,+17037659790,4.5,$$
True Reflections Barber Beauty & Braids,Alexandria,VA,+17033601216,5.0,$$
Mount Vernon Barber Shop,Alexandria,VA,+17036601290,4.5,$$
Van Dorn Barber Shop,Alexandria,VA,+17033702466,4.5,$$
Jun's Barber Shop,Accokeek,MD,+13017537142,5.0,$$
Figaro Mobile Barber,"Washington, DC",DC,+13015386607,5.0,$$
Total Image Barber Shop,Alexandria,VA,+17032128060,5.0,$$
All American Barber Shop,Alexandria,VA,+17035483988,4.0,$$
Tommy Barbershop,Alexandria,VA,,4.0,$$
Belleview Barber Shop,Alexandria,VA,+17036609623,3.0,$$
Rose Hill Barber Shop,Alexandria,VA,+17039715860,4.0,$$
Sport Clips Haircuts of Alexandria,Alexandria,VA,+15714814444,2.5,$$
Pro-Style'n Hair Salon,Alexandria,VA,+17035674700,4.0,$$
Old Town Barber Shop,Alexandria,VA,+17035195780,3.5,$$
Virginia Barbers Club,Alexandria,VA,+17576569523,5.0,$$
Another Level Hair Studio,Alexandria,VA,+17032993063,4.0,$$
Heads Up Barbershop,Alexandria,VA,+17032991599,5.0,$$
Germaine Barbershop Clark,Alexandria,VA,+17034546921,3.5,$$
Selin Hair Studio,Alexandria,VA,+15713571732,4.5,$$
G For Hair,Alexandria,VA,+17035490606,4.5,$$
The Barber Studio,Alexandria,VA,,5.0,$$$
Upper Cuts Gentlemen's Grooming Place,National Harbor,MD,+13015673680,4.0,$$$
The Gentlemen's Quarters,Alexandria,VA,+17038367330,4.0,$$$
Jimmy's Barber Shop,Fort Washington,MD,+13012031687,2.5,$$$
Barber of Hell's Bottom,"Washington, DC",DC,+12023320200,4.0,$$$
Watergate Barber,"Washington, DC",DC,+12023330145,4.0,$$$
Roosters Men's Grooming Center,Arlington,VA,+15713125408,3.5,$$$
The Hair Dynasty,Capitol Heights,MD,+12027290006,5.0,$$$
The Art of Shaving,Mclean,VA,+17032880099,4.0,$$$
Smitten,Arlington,VA,+15715270200,4.0,$$$
Ordinary People Barber Shop,"Washington, DC",DC,+12022416500,3.5,$$$
Roosters Men's Grooming Center,Reston,VA,+15713252888,4.0,$$$
Molecule Salon,"Washington, DC",DC,+12028221588,4.5,$$$
3 Boy's Barber Shop,Alexandria,VA,+17039141104,2.5,$$$
Beltsville Barber Shop,Beltsville,MD,+13019376387,4.0,$$$
Urban Halo Salon,Arlington,VA,+17035274256,4.0,$$$
Cole Stevens Salon,"Washington, DC",DC,+12025474444,4.0,$$$
Parlour Salon,"Washington, DC",DC,+12029860080,4.0,$$$
Arthur Christine,Mclean Va,VA,+17038425300,5.0,$$$
Grooming Lounge,"Washington, DC",DC,+12024668900,3.5,$$$
Genesis Barber Shop,Woodbridge,VA,+17034945174,3.5,$$$$
W Grooming Studio,Alexandria,VA,+17032037463,5.0,$$$$
Carlo's Barber Shop,Hyattsville,MD,+13019438814,4.0,$$$$
The Art of Shaving,Bethesda,MD,+13017670379,3.0,$$$$
Great Clips,Sterling,VA,+15713131125,1.0,$$$$
Carl Suggs Barber & Style Shop,Bessemer,AL,+12054261911,5.0,$
Milestones Barber Lounge,Bessemer,AL,+12054368444,5.0,$
Bluff Park Barber Shop,Birmingham,AL,+12058226704,4.5,$
My Brother's Barber,Vestavia Hills,AL,+12059100776,5.0,$
Trim Salon And Grooming Lounge,Birmingham,AL,+12052024094,3.5,$
Sport Clips Haircuts of Wildwood,Homewood,AL,+12059420290,2.5,$
Klassic Cuts,Bessemer,AL,+12054252887,5.0,$$
Minor Barbor Shop,Pleasant Grove,AL,+12057445280,5.0,$$
Homewood Barber Shop,Birmingham,AL,+12058717721,4.5,$$
Judson The Barber,"Homewood, Alabama",AL,+12056718448,5.0,$$
Vestavia Barber Shop,Vestavia,AL,+12058231974,4.0,$$
The Vintage Barber Shop,Vestavia Hills,AL,+12055366534,4.0,$$
Tutwiler Barber Shop,Birmingham,AL,+12052522785,4.5,$$
Joy's Barber Shop,Pelham,AL,+12056635830,5.0,$$
New Day Barber & Style,Birmingham,AL,+12055674193,4.0,$$
Stephen Gregory A Men's Concept,Birmingham,AL,+12057038076,4.5,$$
Sport Clips Haircuts of Hoover at The Grove,Birmingham,AL,+12054443154,4.0,$$
Gentlemen's Quarters Salon For Men,Birmingham,AL,+12058030081,3.5,$$
Spencer Capelli Grooming For Men & Women,Birmingham,AL,+12055385001,3.0,$$
Sport Clips Haircuts of Alabaster,Alabaster,AL,+12056850070,2.5,$$
Sport Clips Haircuts of Patton Creek,Hoover,AL,+12057331975,2.5,$$
Sport Clips Haircuts of Pelham - Riverchase,Birmingham,AL,+12059822499,2.5,$$
The Male Room,Birmingham,AL,+12059954285,3.0,$$$
The Art of Shaving,Birmingham,AL,+12055887183,4.5,$$$
Legends Barbershop,Hoover,AL,+12055159114,4.5,$$$$
Gq Barbers,Paducah,KY,+12704150447,5.0,$
University Barber Shop,Murray,KY,+12707531953,5.0,$
Sport Clips Haircuts of Paducah,Paducah,KY,+12704430500,4.0,$$
Vincent Oliver's Hippodrome Barber Shop,Birmingham,AL,,4.5,$
Cahaba Heights Plaza Barber Shop,Birmingham,AL,+12059679970,4.0,$
Bluff Park Barber Shop,Birmingham,AL,+12058226704,4.5,$
Trim Salon And Grooming Lounge,Birmingham,AL,+12052024094,3.5,$
Birmingham House of Cuts,Irondale,AL,+12055923500,5.0,$
Tight Cuts Barbershop,Birmingham,AL,+12059803046,5.0,$
My Brother's Barber,Vestavia Hills,AL,+12059100776,5.0,$
Carl Suggs Barber & Style Shop,Bessemer,AL,+12054261911,5.0,$
Gentlemen's Choice Barber Shop,Fultondale,AL,+12058498009,4.0,$
Milestones Barber Lounge,Bessemer,AL,+12054368444,5.0,$
Sport Clips Haircuts of Wildwood,Homewood,AL,+12059420290,2.5,$
Treadwell Barbers Hairstyling,Birmingham,AL,+12058709210,4.5,$$
Homewood Barber Shop,Birmingham,AL,+12058717721,4.5,$$
Becca's Barber Shop,Birmingham,AL,+12059140169,4.5,$$
Judson The Barber,"Homewood, Alabama",AL,+12056718448,5.0,$$
Gentlemens Quarters,Birmingham,AL,+12052532495,5.0,$$
Tutwiler Barber Shop,Birmingham,AL,+12052522785,4.5,$$
The Vintage Barber Shop,Vestavia Hills,AL,+12055366534,4.0,$$
Vestavia Barber Shop,Vestavia,AL,+12058231974,4.0,$$
The Men's Room,Birmingham,AL,+12059671044,3.5,$$
Sirs' Grooming,Birmingham,AL,+12053819241,5.0,$$
Steel 110,Vestavia,AL,+12053052306,5.0,$$
Stephen Gregory A Men's Concept,Birmingham,AL,+12057038076,4.5,$$
New Day Barber & Style,Birmingham,AL,+12055674193,4.0,$$
Minor Barbor Shop,Pleasant Grove,AL,+12057445280,5.0,$$
Gentlemen's Quarters Salon For Men,Birmingham,AL,+12058030081,3.5,$$
Klassic Cuts,Bessemer,AL,+12054252887,5.0,$$
Joy's Barber Shop,Pelham,AL,+12056635830,5.0,$$
Box Car Salon & Boutique,Irondale,AL,+12053371118,5.0,$$
Sport Clips Haircuts of Lee Branch,Birmingham,AL,+12054088090,5.0,$$
Sport Clips Haircuts of Hoover at The Grove,Birmingham,AL,+12054443154,4.0,$$
The Male Room,Birmingham,AL,+12059954285,3.0,$$$
The Art of Shaving,Birmingham,AL,+12055887183,4.5,$$$
Legends Barbershop,Hoover,AL,+12055159114,4.5,$$$$
Kenwood Barbers,Minneapolis,MN,+16128722280,4.5,$
LV's Barbershop,Minneapolis,MN,+16127216551,4.5,$
Feature Cut Barber Stylists,Minneapolis,MN,+16123323319,4.5,$
Glenn's Barber Shop,Minneapolis,MN,+16128221501,5.0,$
