,Name,City,State,PhoneNumber,Rating,Price
0,Cut & Shave Barbershop,Alexandria,VA,15719704767.0,4.5,$
1,Mt Vernon Barber Zone,Alexandria,VA,17037045300.0,5.0,$
2,Walter's Barber Shop,Alexandria,VA,15717810180.0,4.5,$
3,Telegraph Barbershop,Alexandria,VA,17038883111.0,4.5,$
4,Excellence,Fort Washington,MD,13012920206.0,5.0,$
5,Arzum BarberShop,Alexandria,VA,17032990050.0,4.5,$
6,Friendly Barber Shop,Fort Washington,MD,13012488891.0,5.0,$
7,Ultimate Styles Barbershop,Alexandria,VA,17035498820.0,4.0,$
8,All Things In Common Barbershop,Oxon Hill,MD,13018394268.0,4.5,$
9,E The Barber,Oxon Hill,MD,12022306003.0,5.0,$
10,Excellent Cuts,Fort Washington,MD,13015677411.0,3.5,$
11,King Barber,Alexandria,VA,17033701210.0,4.5,$
12,In D Barber Shop,Alexandria,VA,17036600666.0,3.0,$
13,Hi-Top barber shop,Alexandria,VA,17036638855.0,2.5,$
14,Sebastian Unisex Hair Salon,Alexandria,VA,17037658966.0,3.5,$
15,Kim's Barber Shop,Alexandria,VA,17039603325.0,3.5,$
16,Estilos Barber & Beauty Salon,Alexandria,VA,17037993488.0,3.5,$
17,Best Barber Shop,Alexandria,VA,17038230728.0,4.0,$
18,Hair Cuttery,Alexandria,VA,17037659662.0,3.0,$
19,Hair Cuttery,Alexandria,VA,17037509629.0,3.0,$
20,Hollin Hall Barber Shop,Alexandria,VA,17037659790.0,4.5,$$
21,True Reflections Barber Beauty & Braids,Alexandria,VA,17033601216.0,5.0,$$
22,Mount Vernon Barber Shop,Alexandria,VA,17036601290.0,4.5,$$
23,Van Dorn Barber Shop,Alexandria,VA,17033702466.0,4.5,$$
24,Jun's Barber Shop,Accokeek,MD,13017537142.0,5.0,$$
25,Figaro Mobile Barber,"Washington, DC",DC,13015386607.0,5.0,$$
26,Total Image Barber Shop,Alexandria,VA,17032128060.0,5.0,$$
27,All American Barber Shop,Alexandria,VA,17035483988.0,4.0,$$
28,Tommy Barbershop,Alexandria,VA,,4.0,$$
29,Belleview Barber Shop,Alexandria,VA,17036609623.0,3.0,$$
30,Rose Hill Barber Shop,Alexandria,VA,17039715860.0,4.0,$$
31,Sport Clips Haircuts of Alexandria,Alexandria,VA,15714814444.0,2.5,$$
32,Pro-Style'n Hair Salon,Alexandria,VA,17035674700.0,4.0,$$
33,Old Town Barber Shop,Alexandria,VA,17035195780.0,3.5,$$
34,Virginia Barbers Club,Alexandria,VA,17576569523.0,5.0,$$
35,Another Level Hair Studio,Alexandria,VA,17032993063.0,4.0,$$
36,Heads Up Barbershop,Alexandria,VA,17032991599.0,5.0,$$
